date,closeprice,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
2007/3/3,66.1,29.11,41.15,34.07,40.6,-0.124,0.038,-0.162,93.02,93.02,24.69,36.18,14.86,46.82,59.79,37.43,52.81,1.491,1.535,-0.044,26.67,18.71,24.29,78.92,77.57,59.55,67.2,3.409,3.003,0.406,25.49,9.83,27.48,82.59,73.92,82.71,80.17,8.028,7.214,0.814,33.69,7.15,43.97,-0.0033,1.6059,1.4617,1.2965,0.276,0.271,-2.62,-1.63,8.84,35,38,28.06,27.43,25.77,24.96,27.52,27.06,27.84
2007/3/5,63.3,19.41,33.9,19.66,30.37,-0.308,-0.031,-0.277,100,100,21.38,43.28,16.22,31.21,50.26,21.59,41.23,1.228,1.474,-0.246,24.89,23.42,22.77,74.11,75.97,48.48,60.44,3.303,2.982,0.321,24.72,12.57,26.64,79.69,72.95,75.76,77.85,7.945,7.197,0.748,33.5,7.11,43.97,0.0067,1.3645,1.3918,1.2929,0.309,0.274,-6.22,-5.77,4.18,46,28,29.66,29.29,27.13,25.35,27.96,27.39,31.97
2007/3/6,65.1,21.76,29.85,40.04,40.99,-0.399,-0.105,-0.294,61.7,73.53,20.03,38.69,17.33,38.36,52.65,29.66,48,1.278,1.484,-0.206,24.89,23.42,22.77,77.2,77,55.06,64.62,3.35,2.992,0.358,24.72,12.57,26.64,81.56,73.57,80.09,79.32,7.992,7.206,0.786,33.5,7.11,43.97,-0.0024,1.408,1.4095,1.2931,0.313,0.273,-3.34,-3.08,7.1,85,38,31.59,29.94,27.65,25.56,27.95,27.27,32.93
2007/3/7,65.5,25.29,28.33,43.99,43.13,-0.424,-0.169,-0.255,40.54,67.65,21.44,36.85,17.98,39.94,53.17,32.35,49.81,1.295,1.487,-0.192,24.89,23.42,22.77,77.89,77.23,56.77,65.63,3.361,2.994,0.367,24.72,12.57,26.64,81.97,73.71,81.12,79.66,8.003,7.209,0.794,33.5,7.11,43.97,-0.0033,1.3237,1.4187,1.2948,0.313,0.273,-2.52,-2.46,7.7,65,40,28.5,29.94,27.67,25.51,27.95,27.23,32.01
2007/3/8,65.9,29.6,28.75,48.24,45.34,-0.432,-0.222,-0.21,10.35,61.77,20.4,36.04,18.68,41.53,53.7,35.57,51.77,1.305,1.489,-0.184,24.89,23.42,22.77,78.57,77.46,58.6,66.67,3.371,2.996,0.375,24.72,12.57,26.64,82.39,73.85,82.18,80,8.013,7.211,0.802,33.5,7.11,43.97,0.0005,1.3238,1.3883,1.2924,0.281,0.272,-1.77,-1.86,8.29,40,52,28.4,29.95,27.45,25.33,27.96,27.2,31.14
2007/3/9,66.5,35.42,30.97,54.7,48.65,-0.396,-0.257,-0.139,5.88,52.94,23.08,34.58,18.77,43.91,54.5,43.37,54.63,1.329,1.494,-0.165,24.54,23.09,22.77,79.61,77.8,61.56,68.29,3.387,2.999,0.388,24.72,12.57,26.64,83.01,74.06,83.81,80.51,8.029,7.214,0.815,33.5,7.11,43.97,0.0032,1.3238,1.3872,1.2933,0.281,0.272,-0.81,-0.96,9.2,75,73,28.52,29.58,27.43,25.36,27.87,27.17,30.42
2007/3/12,67.2,51.27,37.74,61.67,52.4,-0.333,-0.272,-0.061,0,42.65,24.71,33.15,18.47,44.75,51.25,53.11,57.8,1.253,1.446,-0.193,25.29,22.63,21.54,80.81,78.2,65.43,70.29,3.405,3.003,0.402,24.72,12.57,26.64,83.73,74.3,85.81,81.11,8.047,7.217,0.83,33.5,7.11,43.97,0.008,1.3187,1.3847,1.2907,0.283,0.271,0.22,0.1,10.26,69,77,28.63,29.68,27.47,25.3,27.88,27.12,29.78
2007/3/13,69.1,67.51,47.66,74.82,60.98,-0.185,-0.255,0.07,0,0,31.91,29.98,17.37,52.29,53.76,68.03,64.52,1.328,1.461,-0.133,28.65,21.61,22.14,84.07,79.29,78.86,75.67,3.47,3.016,0.454,24.72,12.57,26.64,85.7,74.95,87.39,81.69,8.097,7.227,0.87,33.5,7.11,43.97,0.0121,1.3588,1.409,1.2943,0.297,0.273,2.95,2.88,13.28,87,79,30.14,30.46,27.85,25.57,28.03,27.23,30.89
2007/3/14,67.9,71.44,55.59,58.88,54.13,-0.117,-0.227,0.11,29.27,20.69,29.22,29.44,16.16,47.53,52.18,59.98,60.55,1.296,1.454,-0.158,28.65,21.61,22.14,82.01,78.6,69.81,72.41,3.438,3.009,0.429,24.72,12.57,26.64,84.46,74.54,86.88,81.46,8.066,7.221,0.845,33.5,7.11,43.97,0.0024,1.3646,1.3964,1.2934,0.303,0.272,1.15,1.05,11.23,36,75,30.58,30.76,27.93,25.64,28.11,27.17,30.72
2007/3/15,69,79.29,63.49,66.95,58.84,-0.004,-0.182,0.178,8.82,5,32.66,27.39,15.63,51.89,53.63,67.48,64.22,1.328,1.461,-0.133,28.99,21.51,22.2,83.9,79.23,78.02,75.67,3.47,3.016,0.454,24.72,12.57,26.64,85.6,74.92,87.35,81.67,8.095,7.227,0.868,33.5,7.11,43.97,0.0046,1.3276,1.384,1.2933,0.305,0.272,2.79,2.62,12.94,61,77,31.07,30.85,28.09,25.66,28.09,27.21,30.47
2007/3/16,69,84.53,70.5,66.95,58.84,0.084,-0.129,0.213,10.34,5,31.49,26.41,15.14,51.89,53.63,67.48,64.22,1.328,1.461,-0.133,28.99,21.51,22.2,83.9,79.23,78.02,75.67,3.47,3.016,0.454,24.72,12.57,26.64,85.6,74.92,87.35,81.67,8.095,7.227,0.868,33.5,7.11,43.97,0.0057,1.3256,1.3938,1.2898,0.305,0.271,2.77,2.5,12.85,52,71,30.58,30.54,28.04,25.62,28.03,27.11,29.56
2007/3/19,69,87.36,76.12,66.95,58.84,0.151,-0.073,0.224,15.79,5,30.63,25.69,14.69,57.21,54.82,67.48,64.22,1.338,1.436,-0.098,28.63,21.24,21.67,83.9,79.23,78.02,75.67,3.47,3.016,0.454,24.72,12.57,26.64,85.6,74.92,87.35,81.67,8.095,7.227,0.868,33.5,7.11,43.97,0.0021,1.3231,1.3938,1.2876,0.3,0.271,2.72,2.4,12.76,50,67,30.57,30.54,27.9,25.6,27.75,27.05,28.66
2007/3/20,69.2,89.35,80.53,69.1,59.86,0.218,-0.015,0.233,14.28,6.67,32.03,24.96,14.53,58.01,55.09,68.81,64.88,1.349,1.439,-0.09,28.84,21.03,21.73,84.24,79.35,79.72,75.67,3.478,3.017,0.461,24.66,12.54,26.64,85.8,74.99,87.43,81.71,8.1,7.228,0.872,33.5,7.11,43.97,0.0063,1.3226,1.3917,1.2868,0.3,0.271,2.93,2.56,12.99,67,41,30.5,29.7,27.76,25.54,27.74,27.03,27.84
2007/3/21,69.7,90.46,83.84,74.33,62.47,0.293,0.047,0.246,20.01,6,33.44,23.8,14.7,59.99,55.75,71.7,66.43,1.368,1.442,-0.074,29.71,20.77,21.88,85.1,79.63,81.42,76.1,3.497,3.021,0.476,24.51,12.47,26.64,86.32,75.16,87.63,81.81,8.113,7.231,0.882,33.5,7.11,43.97,0.0083,1.3323,1.3878,1.2872,0.3,0.271,3.47,3.18,13.7,71,57,30.49,29.17,27.65,25.46,27.71,27.04,27.13
2007/3/22,70.2,89.1,85.59,78.81,64.99,0.381,0.114,0.267,26.08,12.24,35.95,22.25,15.33,61.97,56.41,74.1,67.85,1.392,1.447,-0.055,31.06,20.37,22.1,85.96,79.92,82.36,76.62,3.521,3.026,0.495,24.28,12.35,26.64,86.84,75.33,87.83,81.9,8.126,7.233,0.893,33.5,7.11,43.97,0.0092,1.3096,1.3868,1.2855,0.3,0.271,3.87,3.83,14.41,69,61,29.98,26.57,27.66,25.4,26.51,27.03,26.45
2007/3/23,70,84.89,85.36,72.48,63.1,0.427,0.177,0.25,36.36,18.18,34.85,24.02,15.55,61.18,56.15,73.19,67.29,1.387,1.446,-0.059,31.06,20.37,22.1,85.62,79.81,82,76.42,3.516,3.025,0.491,24.28,12.35,26.64,86.63,75.26,87.75,81.86,8.121,7.232,0.889,33.5,7.11,43.97,-0.0013,1.2762,1.3571,1.2903,0.295,0.271,3.37,3.41,13.99,30,59,29.14,26.58,26.75,25.38,26.02,27.03,25.65
2007/3/26,70,82.08,84.27,72.48,63.1,0.461,0.234,0.227,44.44,23.53,34.17,23.55,15.75,69.06,60.45,73.19,67.29,1.426,1.442,-0.016,30.82,20.21,22.01,85.62,79.81,82,76.42,3.516,3.025,0.491,24.28,12.35,26.64,86.63,75.26,87.75,81.86,8.121,7.232,0.889,33.5,7.11,43.97,-0.0018,1.251,1.3602,1.2894,0.286,0.27,3.28,3.28,13.88,45,57,28.26,26.3,26.69,25.35,25.93,26.98,24.88
2007/3/27,69.2,64.87,77.8,48.27,55.2,0.459,0.279,0.18,100,47.06,30.94,25.73,15.28,65.68,59.33,62.26,62.52,1.403,1.437,-0.034,29.9,19.61,22.01,84.24,79.35,79.72,75.67,3.495,3.021,0.474,24.28,12.35,26.64,85.8,74.99,87.43,81.71,8.1,7.228,0.872,33.5,7.11,43.97,-0.0066,1.232,1.3743,1.2916,0.281,0.27,2.11,1.99,12.48,34,41,27.47,26.35,26.67,25.41,25.83,27.01,24.56
